id,ticker,financialGroup,displayName,createdAt,updatedAt
451,POLTK,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:12:58.874,2025-10-19 22:34:53.656
452,PRDGS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:00.436,2025-10-19 22:34:55.165
453,PRKAB,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:02.088,2025-10-19 22:34:56.263
454,PRKME,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:03.663,2025-10-19 22:34:57.908
455,PRZMA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:05.182,2025-10-19 22:34:59.42
456,PSDTC,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:06.679,2025-10-19 22:35:00.921
457,PSGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:08.53,2025-10-19 22:35:02.105
458,QNBFK,XI_29K,Seri XI No:29 Konsolide,2025-10-19 20:13:10.202,2025-10-19 22:35:03.545
459,QNBTR,UFRS_K,Konsolide UFRS,2025-10-19 20:13:11.717,2025-10-19 22:35:04.929
460,QUAGR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:13.31,2025-10-19 22:35:06.35
461,RALYH,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:15.159,2025-10-19 22:35:07.741
462,RAYSG,UFRS,Konsolide Olmayan UFRS,2025-10-19 20:13:16.82,2025-10-19 22:35:09.396
463,REEDR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:18.371,2025-10-19 22:35:10.817
464,RGYAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:20.447,2025-10-19 22:35:12.323
465,RNPOL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:22.082,2025-10-19 22:35:13.705
466,RODRG,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:24.231,2025-10-19 22:35:15.126
467,ROYAL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:26.211,2025-10-19 22:35:16.524
468,RTALB,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:28.019,2025-10-19 22:35:18.183
469,RUBNS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:29.861,2025-10-19 22:35:19.58
470,RUZYE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:32.076,2025-10-19 22:35:21.037
471,RYGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:33.677,2025-10-19 22:35:22.099
472,RYSAS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:35.464,2025-10-19 22:35:23.511
473,SAFKR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:37.084,2025-10-19 22:35:24.906
474,SAHOL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:39.444,2025-10-19 22:35:26.33
475,SAMAT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:41.73,2025-10-19 22:35:27.392
476,SANEL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:43.551,2025-10-19 22:35:28.817
477,SANFM,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:13:45.245,2025-10-19 22:35:30.368
